Date,Value
2018-12-31,3099.37841035
2017-12-31,2146.58791199
2016-12-31,1811.37457965
2015-12-31,2038.89880896
2014-12-31,2608.55035676
2013-12-31,2346.00502134
2012-12-31,2110.35663038
2011-12-31,1975.91499609
2010-12-31,1588.88757279
2009-12-31,1634.34742475
2008-12-31,1495.57415638
2007-12-31,1208.83104288
2006-12-31,1098.5505683
2005-12-31,753.663594382
2004-12-31,541.379974743
2003-12-31,440.676305514
2002-12-31,160.317363558
2001-12-31,4.56239580474
2000-12-31,0.0
1999-12-31,0.0
1998-12-31,0.0
1997-12-31,0.0
1996-12-31,0.0
1995-12-31,0.0
1994-12-31,0.0
1993-12-31,0.0
1992-12-31,0.0
1991-12-31,0.0
1990-12-31,0.0
