Date,Value
2018-12-31,1906.725
2017-12-31,1890.425612
2016-12-31,1889.09313408
2015-12-31,1913.95868511
2014-12-31,1954.48435673
2013-12-31,1969.07301066
2012-12-31,1927.79309311
2011-12-31,1903.85256504
2010-12-31,1748.94891574
2009-12-31,1685.77826918
2008-12-31,1609.27950332
2007-12-31,1584.17136156
2006-12-31,1454.71898013
2005-12-31,1324.60066542
2004-12-31,1131.15044746
2003-12-31,970.16840743
2002-12-31,814.054818338
2001-12-31,742.541251182
2000-12-31,706.053843884
1999-12-31,696.391464762
1998-12-31,676.845804635
1997-12-31,682.02170862
1996-12-31,696.078203765
1995-12-31,665.2494009
1994-12-31,657.065115
1993-12-31,616.5397
1992-12-31,578.804562
1991-12-31,553.175217
1990-12-31,527.47352
1989-12-31,519.939966
1988-12-31,496.235908
1987-12-31,461.92965
1986-12-31,425.745824
1985-12-31,407.24544
1984-12-31,373.02377
1983-12-31,342.99265
1982-12-31,320.278406
1981-12-31,302.682289
1980-12-31,304.300878
1979-12-31,292.58
1978-12-31,282.82
1977-12-31,257.57
1976-12-31,234.15
1975-12-31,228.565
1974-12-31,202.8
1973-12-31,204.965
1972-12-31,202.315
1971-12-31,191.305
1970-12-31,165.92
1969-12-31,130.405
1968-12-31,107.99
1967-12-31,108.8
1966-12-31,122.4
1965-12-31,114.42
