Date,Value
2021-12-31,4126.0
2020-12-31,3901.5770999999995
2019-12-31,3846.332
2018-12-31,3697.7358
2017-12-31,3523.5617999999995
2016-12-31,3410.604
2015-12-31,3746.5415999999996
2014-12-31,3873.919
2013-12-31,3974.3220000000006
2012-12-31,3945.1280999999994
2011-12-31,3764.4352000000013
2010-12-31,3428.4472999999994
2009-12-31,3115.3541999999998
2008-12-31,2903.4056
2007-12-31,2759.8913000000002
2006-12-31,2569.7312
2005-12-31,2365.146
2004-12-31,2122.6108
2003-12-31,1834.8986999999997
2002-12-31,1550.4003
2001-12-31,1471.5265
2000-12-31,1384.1845
1999-12-31,1363.9973
1998-12-31,1332.0286
1997-12-31,1387.5313
1996-12-31,1396.6994
1995-12-31,1360.731
1994-12-31,1239.901
1993-12-31,1150.67
1992-12-31,1116.38
1991-12-31,1087.406
1990-12-31,1079.883
1989-12-31,1054.2
1988-12-31,979.9
1987-12-31,928.1
1986-12-31,893.9999999999999
1985-12-31,872.3000000000001
1984-12-31,789.2
1983-12-31,714.5
1982-12-31,666.3
1981-12-31,621.6
