Date,Value
2018-12-31,1828.827
2017-12-31,1746.612
2016-12-31,1691.42145124
2015-12-31,1825.56271527
2014-12-31,1864.21002824
2013-12-31,1894.5946306
2012-12-31,1873.54280585
2011-12-31,1851.68247708
2010-12-31,1665.28366206
2009-12-31,1537.86344729
2008-12-31,1491.76979728
2007-12-31,1439.28331295
2006-12-31,1328.42254384
2005-12-31,1241.70165
2004-12-31,1106.9415322
2003-12-31,945.33981024
2002-12-31,800.285626854
2001-12-31,749.374870125
2000-12-31,707.3182795
1999-12-31,682.012289973
1998-12-31,666.027620286
1997-12-31,693.779525313
1996-12-31,698.363666994
1995-12-31,680.3655
1994-12-31,619.9505
1993-12-31,575.335
1992-12-31,558.19
1991-12-31,543.703
1990-12-31,539.9415
1989-12-31,527.1
1988-12-31,489.95
1987-12-31,464.05
1986-12-31,447.0
1985-12-31,436.15
1984-12-31,394.6
1983-12-31,357.25
1982-12-31,333.15
1981-12-31,310.8
