Date,Value
2021-12-31,8534.25
2020-12-31,7779.060000000001
2019-12-31,7503.428
2018-12-31,7166.133
2017-12-31,6604.447
2016-12-31,6133.16
2015-12-31,5814.573
2014-12-31,5794.457
2013-12-31,5431.635
2012-12-31,4987.553
2011-12-31,4713.019
2010-12-31,4207.16
2009-12-31,3714.6510000000003
2008-12-31,3495.7599999999998
2007-12-31,3281.5530000000003
2006-12-31,2865.726
2005-12-31,2500.2599999999998
2004-12-31,2203.31
2003-12-31,1910.575
2002-12-31,1654.0000000000002
2001-12-31,1480.802
2000-12-31,1355.6
1999-12-31,1239.3000000000002
1998-12-31,1167.0
1997-12-31,1135.55
1996-12-31,1081.31
1995-12-31,1007.0300000000001
1994-12-31,927.8000000000001
1993-12-31,811.59
1992-12-31,753.94
1991-12-31,677.5500000000001
1990-12-31,621.2
1989-12-31,584.8100000000001
1988-12-31,545.21
1987-12-31,497.267
1986-12-31,449.53000000000003
1985-12-31,410.69
