Date,Value
2021-12-31,169.93157894736842
2020-12-31,135.625
2019-12-31,112.72522500000001
2018-12-31,93.72522500000001
2017-12-31,79.5989092105263
2016-12-31,62.13476699999999
2015-12-31,54.07029
2014-12-31,46.26822
2013-12-31,37.133
2012-12-31,30.133000000000003
2011-12-31,27.632
2010-12-31,24.90023
2009-12-31,20.85932
2008-12-31,14.866
2007-12-31,9.863
2006-12-31,7.133000000000001
2005-12-31,5.322
2004-12-31,2.528
2003-12-31,2.536
2002-12-31,2.546
2001-12-31,2.554
2000-12-31,2.537
1999-12-31,2.52
1998-12-31,2.48
1997-12-31,2.722
1996-12-31,1.533
1995-12-31,3.014
1994-12-31,0.46
1993-12-31,0.117
1992-12-31,0.113
1991-12-31,0.064
1990-12-31,0.064
1989-12-31,0.0
1988-12-31,0.0
1987-12-31,0.0
1986-12-31,0.0
1985-12-31,0.0
1984-12-31,0.0
1983-12-31,0.0
1982-12-31,0.0
1981-12-31,0.0
1980-12-31,0.0
1979-12-31,0.0
1978-12-31,0.0
1977-12-31,0.0
1976-12-31,0.0
1975-12-31,0.0
1974-12-31,0.0
1973-12-31,0.0
1972-12-31,0.0
1971-12-31,0.0
1970-12-31,0.0
1969-12-31,0.0
1968-12-31,0.0
1967-12-31,0.0
1966-12-31,0.0
1965-12-31,0.0
