Date,Value
2016-12-31,1162.77
2015-12-31,1114.47
2014-12-31,1051.1466737
2013-12-31,909.6112734
2012-12-31,862.79411
2011-12-31,688.045
2010-12-31,711.38314
2009-12-31,615.64
2008-12-31,636.96
2007-12-31,485.264
2006-12-31,435.786
2005-12-31,397.017
2004-12-31,353.544
2003-12-31,283.68
2002-12-31,287.97
2001-12-31,277.43
2000-12-31,222.41
1999-12-31,196.58
1998-12-31,198.89
1997-12-31,195.98
1996-12-31,187.97
1995-12-31,190.58
1994-12-31,167.428969
1993-12-31,151.8461646
1992-12-31,130.6860774
1991-12-31,124.6889516
1990-12-31,126.7439726
1989-12-31,118.4089842
1988-12-31,109.1680188
1987-12-31,100.0242802
1986-12-31,94.5486436
1985-12-31,92.387557
1984-12-31,86.8146936
1983-12-31,86.4169476
1982-12-31,74.4138572
1981-12-31,65.5131856
1980-12-31,58.2211756
1979-12-31,48.5559478
1978-12-31,43.2261514
1977-12-31,46.1341166
1976-12-31,44.194
1975-12-31,43.6106392
1974-12-31,41.674942
1973-12-31,36.8268602
1972-12-31,32.9510464
1971-12-31,29.0752326
1970-12-31,24.0371166
1969-12-31,23.2593022
1968-12-31,22.870395
1967-12-31,19.3834884
1966-12-31,22.4859072
1965-12-31,22.097
