Date,Value
2018-12-31,272.079920351
2017-12-31,263.626284111
2016-12-31,260.956125266
2015-12-31,252.187041227
2014-12-31,237.848276621
2013-12-31,205.822345432
2012-12-31,195.228788976
2011-12-31,155.687423632
2010-12-31,160.96826266
2009-12-31,139.303977916
2008-12-31,144.128162194
2007-12-31,109.803140698
2006-12-31,98.607503281
2005-12-31,89.8350454813
2004-12-31,79.9981897995
2003-12-31,64.1897090103
2002-12-31,65.1604290175
2001-12-31,62.7754898855
2000-12-31,50.3258360863
1999-12-31,44.4811512875
1998-12-31,45.003846676
1997-12-31,44.3453862515
1996-12-31,42.5329230212
1995-12-31,43.1235009277
1994-12-31,37.885
1993-12-31,34.359
1992-12-31,29.571
1991-12-31,28.214
1990-12-31,28.679
1989-12-31,26.793
1988-12-31,24.702
1987-12-31,22.633
1986-12-31,21.394
1985-12-31,20.905
1984-12-31,19.644
1983-12-31,19.554
1982-12-31,16.838
1981-12-31,14.824
1980-12-31,13.174
1979-12-31,10.987
1978-12-31,9.781
1977-12-31,10.439
1976-12-31,10.0
1975-12-31,9.868
1974-12-31,9.43
1973-12-31,8.333
1972-12-31,7.456
1971-12-31,6.579
1970-12-31,5.439
1969-12-31,5.263
1968-12-31,5.175
1967-12-31,4.386
1966-12-31,5.088
1965-12-31,5.0
