Date,Value
2016-12-31,213.2
2015-12-31,170.79
2014-12-31,132.538
2013-12-31,111.613
2012-12-31,97.394
2011-12-31,86.35
2010-12-31,73.88
2009-12-31,70.134
2008-12-31,68.394
2007-12-31,62.13
2006-12-31,54.843
2005-12-31,53.088
2004-12-31,50.469
2003-12-31,43.3498946
2002-12-31,25.1331278
2001-12-31,17.4743076
2000-12-31,16.7406872
1999-12-31,14.9508302
1998-12-31,14.1023054
1997-12-31,14.4205022
1996-12-31,14.340953
1995-12-31,12.8339376
1994-12-31,14.760796
1993-12-31,1.6042422
1992-12-31,0.0
1991-12-31,0.0
1990-12-31,0.0
1989-12-31,0.0
1988-12-31,0.0
1987-12-31,0.0
1986-12-31,0.0
1985-12-31,0.0
1984-12-31,0.0
1983-12-31,0.0
1982-12-31,0.0
1981-12-31,0.0
1980-12-31,0.0
1979-12-31,0.0
1978-12-31,0.0
1977-12-31,0.0
1976-12-31,0.0
1975-12-31,0.0
1974-12-31,0.0
1973-12-31,0.0
1972-12-31,0.0
1971-12-31,0.0
1970-12-31,0.0
1969-12-31,0.0
1968-12-31,0.0
1967-12-31,0.0
1966-12-31,0.0
1965-12-31,0.0
