Date,Value
2018-12-31,66.6063266507
2017-12-31,56.1388423768
2016-12-31,48.2615287143
2015-12-31,38.645291216
2014-12-31,29.9900438974
2013-12-31,25.2552382676
2012-12-31,22.03783319
2011-12-31,19.5388514278
2010-12-31,16.7172014301
2009-12-31,15.8695750554
2008-12-31,15.4758564511
2007-12-31,14.0584694755
2006-12-31,12.4096031135
2005-12-31,12.0124903833
2004-12-31,11.4198760013
2003-12-31,9.809
2002-12-31,5.687
2001-12-31,3.954
2000-12-31,3.788
1999-12-31,3.383
1998-12-31,3.191
1997-12-31,3.263
1996-12-31,3.245
1995-12-31,2.904
1994-12-31,3.34
1993-12-31,0.363
1992-12-31,0.0
1991-12-31,0.0
1990-12-31,0.0
1989-12-31,0.0
1988-12-31,0.0
1987-12-31,0.0
1986-12-31,0.0
1985-12-31,0.0
1984-12-31,0.0
1983-12-31,0.0
1982-12-31,0.0
1981-12-31,0.0
1980-12-31,0.0
1979-12-31,0.0
1978-12-31,0.0
1977-12-31,0.0
1976-12-31,0.0
1975-12-31,0.0
1974-12-31,0.0
1973-12-31,0.0
1972-12-31,0.0
1971-12-31,0.0
1970-12-31,0.0
1969-12-31,0.0
1968-12-31,0.0
1967-12-31,0.0
1966-12-31,0.0
1965-12-31,0.0
