Date,Value
2021-12-31,15442.093686586928
2020-12-31,14407.906574677583
2019-12-31,14320.859568969163
2018-12-31,13641.972724143086
2017-12-31,13002.57835660212
2016-12-31,12297.460202813945
2015-12-31,11889.780007338652
2014-12-31,11017.88503492548
2013-12-31,10563.37765632757
2012-12-31,10060.585893281943
2011-12-31,9629.797932235904
2010-12-31,9307.176479188507
2009-12-31,8165.962817835901
2008-12-31,7818.684906863734
2007-12-31,7681.448707561709
2006-12-31,7322.593100977879
2005-12-31,6815.672666792906
2004-12-31,6689.557353300475
2003-12-31,5738.230040760634
2002-12-31,5144.317005910749
2001-12-31,4762.0982841755385
2000-12-31,4655.437481674765
1999-12-31,4317.572313094706
1998-12-31,4068.2468111653857
1997-12-31,3930.075074639676
1996-12-31,3565.881738703221
1995-12-31,3220.412668624165
1994-12-31,2965.0723400944903
1993-12-31,2904.1464902139605
1992-12-31,2590.842436944517
1991-12-31,2391.6542523208796
1990-12-31,2203.740143912638
1989-12-31,2224.4563751337737
1988-12-31,2116.144407825053
1987-12-31,1965.2255449179165
1986-12-31,1846.2570221694561
1985-12-31,1734.4581106381202
1984-12-31,1642.9578354494388
1983-12-31,1585.992786875719
1982-12-31,1549.6022151621178
1981-12-31,1561.8233363338377
1980-12-31,1642.9648452347346
1979-12-31,1827.1003835616439
1978-12-31,1819.0612328767122
1977-12-31,1624.8955890410962
1976-12-31,1534.1262021857924
1975-12-31,1341.9964657534244
1974-12-31,1216.7103561643837
1973-12-31,1058.3232328767122
1972-12-31,864.5880327868853
1971-12-31,753.2652876712328
1970-12-31,554.2244657534247
1969-12-31,400.56093150684933
1968-12-31,298.0057103825137
1967-12-31,273.2941369863014
1966-12-31,276.6654794520548
1965-12-31,215.49350684931505
