Date,Value
2021-12-31,198.881
2020-12-31,194.769
2019-12-31,191.628
2018-12-31,189.324
2017-12-31,191.506
2016-12-31,199.685
2015-12-31,214.56
2014-12-31,211.429
2013-12-31,209.959285
2012-12-31,207.478
2011-12-31,202.87550000000002
2010-12-31,203.014
2009-12-31,189.49
2008-12-31,190.4396
2007-12-31,186.31820000000002
2006-12-31,184.7657
2005-12-31,181.3529
2004-12-31,174.05100000000002
2003-12-31,169.585
2002-12-31,166.866
2001-12-31,164.83
2000-12-31,162.62
1999-12-31,160.22
1998-12-31,160.18
1997-12-31,160.13
1996-12-31,158.52
1995-12-31,149.02
1994-12-31,146.08
1993-12-31,144.03
1992-12-31,142.04
1991-12-31,140.99
1990-12-31,138.31
1989-12-31,137.64000000000001
1988-12-31,137.05
1987-12-31,134.14000000000001
1986-12-31,130.69
1985-12-31,124.9
1984-12-31,114.61
1983-12-31,106.07000000000001
1982-12-31,102.12
1981-12-31,101.22
1980-12-31,105.95
1979-12-31,106.15
1978-12-31,104.05
1977-12-31,93.64
1976-12-31,87.16
1975-12-31,77.06
1974-12-31,64.85
1973-12-31,53.61
1972-12-31,45.67
1971-12-31,39.410000000000004
1970-12-31,30.650000000000002
1969-12-31,21.740000000000002
1968-12-31,15.99
1967-12-31,13.88
1966-12-31,14.55
1965-12-31,11.31
