Date,Value
2021-12-31,16990.260062898
2020-12-31,16691.41410958904
2019-12-31,16199.199589041094
2018-12-31,15655.47424657534
2017-12-31,15230.98691780822
2016-12-31,14895.212671232877
2015-12-31,15024.180506849314
2014-12-31,15252.54515068493
2013-12-31,14502.776520547945
2012-12-31,13680.511178082192
2011-12-31,13014.68610958904
2010-12-31,12322.533287671231
2009-12-31,11333.90706849315
2008-12-31,10388.77887671233
2007-12-31,9455.47909589041
2006-12-31,9226.54210958904
2005-12-31,8463.418821917807
2004-12-31,7843.693770475647
2003-12-31,7322.456388403082
2002-12-31,6877.710865334876
2001-12-31,6166.336576594329
2000-12-31,5908.449737665343
1999-12-31,5901.893292607826
1998-12-31,5017.86595068601
1997-12-31,4981.805502869669
1996-12-31,4617.9228021775
1995-12-31,4386.261743478581
1994-12-31,3897.8065866935967
1993-12-31,3643.197970293371
1992-12-31,3326.303125846737
1991-12-31,3160.206517722984
1990-12-31,3160.206517722984
1989-12-31,2699.069882010985
1988-12-31,2560.291794960218
1987-12-31,2435.719338867403
1986-12-31,2370.1548882922375
1985-12-31,2348.300071433849
1984-12-31,2243.3969505135838
1983-12-31,2237.933246298987
1982-12-31,2185.481685838854
1981-12-31,1977.8609256841632
1980-12-31,1972.3972214695661
1979-12-31,1748.3853486710834
1978-12-31,1724.3450501268567
1977-12-31,1756.0345345715198
1976-12-31,1575.732295489814
1975-12-31,1327.680124147104
1974-12-31,1229.3334482843557
1973-12-31,1020.6199472867452
1972-12-31,875.2854151784613
1971-12-31,768.1968125723573
1970-12-31,605.3784269773627
1969-12-31,539.813976402197
1968-12-31,462.2293765549177
1967-12-31,317.9875852895533
1966-12-31,317.9875852895533
1965-12-31,241.49572628519337
