Date,Value
2014-12-31,9986.2915890411
2013-12-31,9647.5050136986
2012-12-31,9199.2521393443
2011-12-31,8685.5901178082
2010-12-31,8408.3012383562
2009-12-31,7452.3810236446
2008-12-31,6828.3800161184
2007-12-31,6593.5092330959
2006-12-31,6234.717260274
2005-12-31,5831.9709123288
2004-12-31,5555.032489071
2003-12-31,4788.3978082192
2002-12-31,4333.7811671233
2001-12-31,4098.1327123288
2000-12-31,4066.6078961749
1999-12-31,3686.0
1998-12-31,3060.0
1997-12-31,3084.0
1996-12-31,2850.0
1995-12-31,2711.0
1994-12-31,2548.0
1993-12-31,2570.0
1992-12-31,2426.0
1991-12-31,2282.0
1990-12-31,2153.0
1989-12-31,2114.0
1988-12-31,2035.0
1987-12-31,1952.0
1986-12-31,1839.0
1985-12-31,1697.0
1984-12-31,1638.0
1983-12-31,1602.0
1982-12-31,1447.0
1981-12-31,1435.0
1980-12-31,1510.0
