Date,Value
2017-12-31,108.179305638
2016-12-31,61.686
2015-12-31,43.56
2014-12-31,23.512156643
2013-12-31,8.3738865
2012-12-31,3.5945099
2011-12-31,2.61
2010-12-31,0.701
2009-12-31,0.279
2008-12-31,0.152
2007-12-31,0.114
2006-12-31,0.095
2005-12-31,0.084
2004-12-31,0.076
2003-12-31,0.064
2002-12-31,0.048
2001-12-31,0.031
2000-12-31,0.022
1999-12-31,0.017
1998-12-31,0.014
1997-12-31,0.011
1996-12-31,0.009
1995-12-31,0.007
1994-12-31,0.005
1993-12-31,0.004
1992-12-31,0.003
1991-12-31,0.002
1990-12-31,0.002
1989-12-31,0.0
1988-12-31,0.0
1987-12-31,0.0
1986-12-31,0.0
1985-12-31,0.0
1984-12-31,0.0
1983-12-31,0.0
1982-12-31,0.0
1981-12-31,0.0
1980-12-31,0.0
1979-12-31,0.0
1978-12-31,0.0
1977-12-31,0.0
1976-12-31,0.0
1975-12-31,0.0
1974-12-31,0.0
1973-12-31,0.0
1972-12-31,0.0
1971-12-31,0.0
1970-12-31,0.0
1969-12-31,0.0
1968-12-31,0.0
1967-12-31,0.0
1966-12-31,0.0
1965-12-31,0.0
