Date,Value
2017-12-31,286.080694362
2016-12-31,237.071
2015-12-31,185.766
2014-12-31,156.078
2013-12-31,141.197
2012-12-31,95.978
2011-12-31,70.331
2010-12-31,44.622
2009-12-31,27.6
2008-12-31,13.1
2007-12-31,5.47929292929
2006-12-31,3.71181818182
2005-12-31,1.94606060606
2004-12-31,1.27777777778
2003-12-31,0.99696969697
2002-12-31,0.837373737374
2001-12-31,0.719191919192
2000-12-31,0.589898989899
1999-12-31,0.473737373737
1998-12-31,0.355555555556
1997-12-31,0.19797979798
1996-12-31,0.0939393939394
1995-12-31,0.616161616162
1994-12-31,0.383838383838
1993-12-31,0.212121212121
1992-12-31,0.131313131313
1991-12-31,0.00909090909091
1990-12-31,0.0020202020202
1989-12-31,0.0
1988-12-31,0.0
1987-12-31,0.0
1986-12-31,0.0
1985-12-31,0.0
1984-12-31,0.0
1983-12-31,0.0
1982-12-31,0.0
1981-12-31,0.0
1980-12-31,0.0
1979-12-31,0.0
1978-12-31,0.0
1977-12-31,0.0
1976-12-31,0.0
1975-12-31,0.0
1974-12-31,0.0
1973-12-31,0.0
1972-12-31,0.0
1971-12-31,0.0
1970-12-31,0.0
1969-12-31,0.0
1968-12-31,0.0
1967-12-31,0.0
1966-12-31,0.0
1965-12-31,0.0
