Date,Value
2018-12-31,3444.89055603
2017-12-31,3293.47616318
2016-12-31,3227.64574138
2015-12-31,3191.2659358
2014-12-31,3460.22676507
2013-12-31,3073.43
2012-12-31,2885.661
2011-12-31,3079.42
2010-12-31,3133.986
2009-12-31,2528.794
2008-12-31,2527.145
2007-12-31,2839.489
2006-12-31,2287.375
2005-12-31,1390.917
2004-12-31,910.309535495
2003-12-31,594.403
2002-12-31,488.679
2001-12-31,310.977
2000-12-31,222.127
1999-12-31,115.506
1998-12-31,88.851
1997-12-31,79.966
1996-12-31,48.868
1995-12-31,31.098
1994-12-31,24.878
1993-12-31,4.443
1992-12-31,4.443
1991-12-31,0.0
1990-12-31,0.0
