Date,Value
2018-12-31,66.3991592624
2017-12-31,71.5331279259
2016-12-31,76.5206362855
2015-12-31,78.6806391516
2014-12-31,79.6126397248
2013-12-31,82.837369829
2012-12-31,80.487890513
2011-12-31,78.3139390465
2010-12-31,77.0569408618
2009-12-31,71.7362370068
2008-12-31,80.1210860801
2007-12-31,86.6970528088
2006-12-31,84.5495500573
2005-12-31,81.2886709277
2004-12-31,84.9621678848
2003-12-31,87.1556256807
2002-12-31,85.7393650521
2001-12-31,85.5491004108
2000-12-31,85.3048865195
1999-12-31,82.1652333238
1998-12-31,85.3406984427
1997-12-31,87.4306328461
1996-12-31,90.2323190981
1995-12-31,90.6224738703
1994-12-31,95.5676348524
1993-12-31,98.5188488774
1992-12-31,104.428029426
1991-12-31,115.528398777
1990-12-31,131.529736314
1989-12-31,141.023
1988-12-31,138.813
1987-12-31,140.467
1986-12-31,141.047
1985-12-31,149.269
1984-12-31,150.064
1983-12-31,145.397
1982-12-31,140.282
1981-12-31,143.707
1980-12-31,141.338
1979-12-31,138.158
1978-12-31,130.566
1977-12-31,128.891
1976-12-31,134.208
1975-12-31,127.134
1974-12-31,140.337
1973-12-31,139.736
1972-12-31,139.283
1971-12-31,142.681
1970-12-31,149.097
1969-12-31,150.985423719
1968-12-31,146.641361036
1967-12-31,144.566159334
1966-12-31,150.072177683
1965-12-31,160.746047927
