Date,Value
2021-12-31,126.00000000000003
2020-12-31,107.4
2019-12-31,131.30000000000004
2018-12-31,168.842
2017-12-31,175.122
2016-12-31,175.396
2015-12-31,184.288
2014-12-31,185.79500000000002
2013-12-31,190.56100000000004
2012-12-31,196.202
2011-12-31,188.561
2010-12-31,182.303
2009-12-31,183.623
2008-12-31,192.48399999999998
2007-12-31,201.94
2006-12-31,197.40600000000003
2005-12-31,203.072
2004-12-31,208.036
2003-12-31,205.228
2002-12-31,208.416
2001-12-31,203.015
2000-12-31,201.572
1999-12-31,201.09499999999997
1998-12-31,207.293
1997-12-31,223.56199999999998
1996-12-31,235.75900000000001
1995-12-31,246.68400000000003
1994-12-31,259.664
1993-12-31,280.67
1992-12-31,307.906
1991-12-31,346.38199999999995
1990-12-31,427.43300000000005
1989-12-31,482.74899999999997
1988-12-31,498.32500000000005
1987-12-31,502.84999999999997
1986-12-31,513.2180000000001
1985-12-31,521.6
1984-12-31,501.8
1983-12-31,476.5
1982-12-31,499.7
1981-12-31,492.79999999999995
