Date,Value
2018-12-31,37.5904930843
2017-12-31,39.4191304713
2016-12-31,39.6364766072
2015-12-31,42.8125060379
2014-12-31,44.1338356951
2013-12-31,45.1209038632
2012-12-31,47.7725948963
2011-12-31,46.7310834779
2010-12-31,45.8981084121
2009-12-31,46.4146808787
2008-12-31,50.0959439493
2007-12-31,54.414091109
2006-12-31,53.3493995663
2005-12-31,56.5718655202
2004-12-31,58.4131277891
2003-12-31,57.798829841
2002-12-31,58.4232015135
2001-12-31,58.2569247777
2000-12-31,60.712526373
1999-12-31,63.2799214068
1998-12-31,65.0083906917
1997-12-31,70.8676981608
1996-12-31,73.9874437323
1995-12-31,79.0495328228
1994-12-31,80.9485586434
1993-12-31,87.8497315785
1992-12-31,97.6346579338
1991-12-31,106.150536919
1990-12-31,125.037135477
1989-12-31,131.565869652
1988-12-31,137.88468151
1987-12-31,138.95668392
1986-12-31,143.51241293
1985-12-31,148.63417704
1984-12-31,142.97746467
1983-12-31,141.26144368
1982-12-31,149.50269929
1981-12-31,148.85351265
