Date,Value
2021-12-31,50.900000000000006
2020-12-31,51.092000000000006
2019-12-31,50.323
2018-12-31,50.972
2017-12-31,51.08
2016-12-31,51.103
2015-12-31,50.459
2014-12-31,48.385
2013-12-31,45.592999999999996
2012-12-31,43.2284
2011-12-31,36.9098
2010-12-31,33.9517
2009-12-31,30.904799999999998
2008-12-31,28.0316
2007-12-31,24.6164
2006-12-31,18.9344
2005-12-31,14.706199999999999
2004-12-31,10.635514000000002
2003-12-31,8.948651
2002-12-31,6.4
2001-12-31,5.2
2000-12-31,3.4
1999-12-31,2.94
1998-12-31,2.718
1997-12-31,2.297
1996-12-31,2.1430000000000002
1995-12-31,2.049
1994-12-31,1.9060000000000001
1993-12-31,1.663
1992-12-31,1.562
1991-12-31,1.5110000000000001
1990-12-31,1.435
1989-12-31,1.749267893
1988-12-31,1.637881804
1987-12-31,1.445849294
1986-12-31,1.595569556
1985-12-31,1.644029738
1984-12-31,1.642944808
1983-12-31,1.540238155
1982-12-31,1.798813004
1981-12-31,1.804237651
1980-12-31,1.96625378
1979-12-31,1.443317792
1978-12-31,1.317465978
1977-12-31,1.246583921
1976-12-31,1.277685232
1975-12-31,1.124710181
1974-12-31,1.07625
1973-12-31,1.0531048390000002
1972-12-31,1.01874874
1971-12-31,1.001028226
1970-12-31,0.9200201613000001
1969-12-31,0.0
1968-12-31,0.0
1967-12-31,0.0
1966-12-31,0.0
1965-12-31,0.0
