Date,Value
2016-12-31,21.0
2015-12-31,18.97715888
2014-12-31,19.58710177
2013-12-31,22.998
2012-12-31,22.09
2011-12-31,17.672274
2010-12-31,20.953
2009-12-31,19.031
2008-12-31,20.443
2007-12-31,21.169
2006-12-31,20.0085
2005-12-31,19.639
2004-12-31,20.096
2003-12-31,17.722
2002-12-31,23.66175
2001-12-31,23.241
2000-12-31,24.86675
1999-12-31,20.686
1998-12-31,19.002
1997-12-31,18.952
1996-12-31,18.818
1995-12-31,21.556
1994-12-31,20.195
1993-12-31,18.96
1992-12-31,18.635
1991-12-31,15.85
1990-12-31,17.335
1989-12-31,18.2437278
1988-12-31,20.0793908
1987-12-31,20.34297
1986-12-31,18.5719818
1985-12-31,17.4006496
1984-12-31,18.4791744
1983-12-31,18.7120174
1982-12-31,19.737993
1981-12-31,19.9146734
1980-12-31,19.069143
1979-12-31,18.3836866
1978-12-31,18.3622344
1977-12-31,17.5821604
1976-12-31,13.846833
1975-12-31,17.0591234
1974-12-31,17.6381318
1973-12-31,15.2294618
1972-12-31,13.2058944
1971-12-31,13.4551882
1970-12-31,17.5336782
1969-12-31,13.7134778
1968-12-31,16.8989908
1967-12-31,16.6523118
1966-12-31,17.5339978
1965-12-31,16.2122092
