Date,Value
2016-12-31,84.63
2015-12-31,91.786311
2014-12-31,97.129
2013-12-31,97.29
2012-12-31,99.46
2011-12-31,107.971227
2010-12-31,140.556
2009-12-31,134.932
2008-12-31,148.777
2007-12-31,140.534
2006-12-31,167.356
2005-12-31,163.039
2004-12-31,167.065
2003-12-31,165.06
2002-12-31,164.842
2001-12-31,171.305
2000-12-31,169.606
1999-12-31,170.004
1998-12-31,161.6
1997-12-31,170.328
1996-12-31,161.613
1995-12-31,154.1
1994-12-31,151.2
1993-12-31,153.5
1992-12-31,158.8
1991-12-31,147.4
1990-12-31,152.5
1989-12-31,161.705846
1988-12-31,156.8489254
1987-12-31,141.7478356
1986-12-31,130.5093014
1985-12-31,138.6630944
1984-12-31,104.3376146
1983-12-31,78.0731204
1982-12-31,74.4403736
1981-12-31,65.5441214
1980-12-31,55.6004714
1979-12-31,52.0737902
1978-12-31,43.8802226
1977-12-31,41.2639378
1976-12-31,29.6364964
1975-12-31,24.1431822
1974-12-31,14.4602768
1973-12-31,12.1047366
1972-12-31,9.523807
1971-12-31,6.2180958
1970-12-31,6.4920986
1969-12-31,5.3297964
1968-12-31,2.0064076
1967-12-31,1.5114348
1966-12-31,0.3402938
1965-12-31,0.1370014
