Date,Value
2018-12-31,17.2195320632
2017-12-31,17.2703081866
2016-12-31,19.1505634249
2015-12-31,20.7689530253
2014-12-31,21.9778702991
2013-12-31,22.0143005838
2012-12-31,22.5053174639
2011-12-31,24.4311958637
2010-12-31,31.8043173281
2009-12-31,30.5317463909
2008-12-31,33.6645245961
2007-12-31,31.7993392768
2006-12-31,37.8684889351
2005-12-31,36.8916595013
2004-12-31,37.8026428927
2003-12-31,37.3489613975
2002-12-31,37.2996334344
2001-12-31,38.7620491469
2000-12-31,38.3776078201
1999-12-31,38.4676652939
1998-12-31,36.56604969
1997-12-31,38.5409784134
1996-12-31,36.5689912658
1995-12-31,34.8689867403
1994-12-31,34.2127890664
1993-12-31,34.7332217043
1992-12-31,35.9324795221
1991-12-31,33.3529438385
1990-12-31,34.5069466443
1989-12-31,36.59
1988-12-31,35.491
1987-12-31,32.074
1986-12-31,29.531
1985-12-31,31.376
1984-12-31,23.609
1983-12-31,17.666
1982-12-31,16.844
1981-12-31,14.831
1980-12-31,12.581
1979-12-31,11.783
1978-12-31,9.929
1977-12-31,9.337
1976-12-31,6.706
1975-12-31,5.463
1974-12-31,3.272
1973-12-31,2.739
1972-12-31,2.155
1971-12-31,1.407
1970-12-31,1.469
1969-12-31,1.206
1968-12-31,0.454
1967-12-31,0.342
1966-12-31,0.077
1965-12-31,0.031
