Date,Value
2017-12-31,39.895
2016-12-31,38.098
2015-12-31,38.726
2014-12-31,36.056
2013-12-31,31.01
2012-12-31,26.38
2011-12-31,19.599
2010-12-31,11.729
2009-12-31,6.583
2008-12-31,4.42
2007-12-31,3.075
2006-12-31,2.22
2005-12-31,1.282
2004-12-31,0.557
2003-12-31,0.313
2002-12-31,0.162
2001-12-31,0.076
2000-12-31,0.06
1999-12-31,0.03
1998-12-31,0.035
1997-12-31,0.018
1996-12-31,0.012
1995-12-31,0.007
1994-12-31,0.007
1993-12-31,0.003
1992-12-31,0.004
1991-12-31,0.001
1990-12-31,0.001
1989-12-31,0.0
1988-12-31,0.0
1987-12-31,0.0
1986-12-31,0.0
1985-12-31,0.0
1984-12-31,0.0
1983-12-31,0.0
1982-12-31,0.0
1981-12-31,0.0
1980-12-31,0.0
1979-12-31,0.0
1978-12-31,0.0
1977-12-31,0.0
1976-12-31,0.0
1975-12-31,0.0
1974-12-31,0.0
1973-12-31,0.0
1972-12-31,0.0
1971-12-31,0.0
1970-12-31,0.0
1969-12-31,0.0
1968-12-31,0.0
1967-12-31,0.0
1966-12-31,0.0
1965-12-31,0.0
