Date,Value
2018-12-31,220.154319562
2017-12-31,205.8
2016-12-31,193.97
2015-12-31,186.368
2014-12-31,176.5918
2013-12-31,173.117
2012-12-31,168.2856
2011-12-31,157.577
2010-12-31,150.953222
2009-12-31,141.71822
2008-12-31,148.95426
2007-12-31,143.47508
2006-12-31,140.98
2005-12-31,135.55836
2004-12-31,137.08016
2003-12-31,132.46016
2002-12-31,122.57098
2001-12-31,128.38785
2000-12-31,121.49538
1999-12-31,117.7802
1998-12-31,108.83541
1997-12-31,116.0359682
1996-12-31,120.76006638
1995-12-31,124.7136172
1994-12-31,131.3398003
1993-12-31,147.5766659
1992-12-31,163.6342241
1991-12-31,170.6435636
1990-12-31,185.56114
1989-12-31,192.345674534
1988-12-31,199.956536397
1987-12-31,193.731041132
1986-12-31,192.17340925
1985-12-31,185.805669
