Date,Value
2015-12-31,515.97285194
2014-12-31,523.57023657396
2013-12-31,544.24278866069
2012-12-31,533.04678863332
2011-12-31,546.30773889198
2010-12-31,529.97506011902
2009-12-31,474.88886993912
2008-12-31,541.547512636
2007-12-31,532.832580488
2006-12-31,535.6384628478
2005-12-31,522.08144924
2004-12-31,515.97285194
2003-12-31,505.38461662
2002-12-31,484.941177656
2001-12-31,473.61991066
2000-12-31,475.65610976
1999-12-31,482.17194688
1998-12-31,479.402716104
1997-12-31,463.683259052
1996-12-31,489.176471784
1995-12-31,479.32126814
1994-12-31,494.633485372
1993-12-31,503.592761412
1992-12-31,524.52488816
1991-12-31,523.71040852
1990-12-31,531.04072528
1989-12-31,501.556562312
1988-12-31,480.380091672
1987-12-31,443.321268052
1986-12-31,409.68325892
1985-12-31,376.3058832728
