Date,Value
2021-12-31,0.518672
2020-12-31,0.513382
2019-12-31,0.521152
2018-12-31,0.5043070000000001
2017-12-31,0.5191790000000001
2016-12-31,0.44589999999999996
2015-12-31,0.48119999999999996
2014-12-31,0.5543999999999999
2013-12-31,0.48152700000000004
2012-12-31,0.502849
2011-12-31,0.557208
2010-12-31,0.536914
2009-12-31,0.4974
2008-12-31,0.4889
2007-12-31,0.4845
2006-12-31,0.5057
2005-12-31,0.45130000000000003
2004-12-31,0.44980000000000003
2003-12-31,0.3658
2002-12-31,0.1733
2001-12-31,0.11410000000000001
2000-12-31,0.0791
1999-12-31,0.057999999999999996
1998-12-31,0.057999999999999996
1997-12-31,0.057
1996-12-31,0.057
1995-12-31,0.059
1994-12-31,0.061
1993-12-31,0.06
1992-12-31,0.063
1991-12-31,0.065
1990-12-31,0.065
1989-12-31,0.0
1988-12-31,0.0
1987-12-31,0.0
1986-12-31,0.0
1985-12-31,0.0
1984-12-31,0.0
1983-12-31,0.0
1982-12-31,0.0
1981-12-31,0.0
1980-12-31,0.0
1979-12-31,0.0
1978-12-31,0.0
1977-12-31,0.0
1976-12-31,0.0
1975-12-31,0.0
1974-12-31,0.0
1973-12-31,0.0
1972-12-31,0.0
1971-12-31,0.0
1970-12-31,0.0
1969-12-31,0.0
1968-12-31,0.0
1967-12-31,0.0
1966-12-31,0.0
1965-12-31,0.0
