Date,Value
2018-12-31,43.040482871
2017-12-31,41.9327804679
2016-12-31,41.8053382812
2015-12-31,38.0126802281
2014-12-31,39.2348508847
2013-12-31,40.9900891524
2012-12-31,36.9857220437
2011-12-31,36.8954156673
2010-12-31,37.6710639453
2009-12-31,39.4168891705
2008-12-31,37.2856043807
2007-12-31,40.0608679911
2006-12-31,39.2100737657
2005-12-31,39.0575643753
2004-12-31,39.7513237091
2003-12-31,35.2242385844
2002-12-31,36.6959315744
2001-12-31,39.3490066525
2000-12-31,37.1263067385
1999-12-31,36.3153369236
1998-12-31,35.8639181789
1997-12-31,35.6233877902
1996-12-31,34.9162782278
1995-12-31,39.8821559488
1994-12-31,39.807666199
1993-12-31,39.4372539259
1992-12-31,39.0537176992
1991-12-31,38.0354799294
1990-12-31,37.753
1989-12-31,36.142
1988-12-31,36.413
1987-12-31,36.776
1986-12-31,37.184
1985-12-31,36.142
