Date,Value
2016-12-31,186.618257
2015-12-31,169.941572
2014-12-31,174.8724
2013-12-31,179.3788
2012-12-31,164.517
2011-12-31,164.7492
2010-12-31,168.20621
2009-12-31,176.134
2008-12-31,166.728
2007-12-31,178.979
2006-12-31,175.214
2005-12-31,174.538
2004-12-31,177.637
2003-12-31,157.628
2002-12-31,164.147
2001-12-31,175.9318946
2000-12-31,165.3341734
1999-12-31,160.9236122
1998-12-31,158.7271704
1997-12-31,157.529513
1996-12-31,154.0293482
1995-12-31,177.0323252
1994-12-31,175.8346678
1993-12-31,175.207113
1992-12-31,172.6261834
1991-12-31,168.1228148
1990-12-31,166.8456082
1989-12-31,159.7259548
1988-12-31,160.9236122
1987-12-31,162.5278544
1986-12-31,164.3309696
1985-12-31,159.7259548
