Date,Value
2018-12-31,46.2734692492
2017-12-31,45.9667760329
2016-12-31,44.4889315292
2015-12-31,44.230033715
2014-12-31,40.9008915237
2013-12-31,39.0342806716
2012-12-31,40.1714938679
2011-12-31,39.1323030276
2010-12-31,38.5605964611
2009-12-31,37.0146399964
2008-12-31,36.9018192515
2007-12-31,36.21702041
2006-12-31,35.3975652804
2005-12-31,33.8159026112
2004-12-31,32.743585102
2003-12-31,34.0186450649
2002-12-31,32.0471104675
2001-12-31,30.984975336
2000-12-31,29.577544463
1999-12-31,27.5770466579
1998-12-31,23.4690229443
1997-12-31,24.5503914559
1996-12-31,24.6698646875
1995-12-31,22.5216092682
1994-12-31,22.1342263656
1993-12-31,26.9688192967
1992-12-31,27.0683803231
1991-12-31,27.1493415396
1990-12-31,26.774
1989-12-31,30.85
1988-12-31,30.505
1987-12-31,28.217
1986-12-31,23.809
1985-12-31,22.473
