Date,Value
2016-12-31,196.619151
2015-12-31,195.472497
2014-12-31,180.7601
2013-12-31,172.9766
2012-12-31,177.7001
2011-12-31,173.0406
2010-12-31,170.3344
2009-12-31,163.5825
2008-12-31,163.0839
2007-12-31,160.0575
2006-12-31,156.5
2005-12-31,147.606
2004-12-31,144.7265112
2003-12-31,148.6288414
2002-12-31,141.6550282
2001-12-31,136.9262702
2000-12-31,130.5225596
1999-12-31,119.964613
1998-12-31,104.1166446
1997-12-31,108.3150746
1996-12-31,109.0177592
1995-12-31,99.3967254
1994-12-31,97.845516
1993-12-31,119.2044762
1992-12-31,119.6464162
1991-12-31,120.0043876
1990-12-31,118.3250156
1989-12-31,136.33849
1988-12-31,134.813797
1987-12-31,124.7022098
1986-12-31,105.2214946
1985-12-31,99.3171762
