Date,Value
2017-12-31,0.544
2016-12-31,0.4683
2015-12-31,0.3356
2014-12-31,0.16
2013-12-31,0.0108
2012-12-31,0.00421150684932
2011-12-31,0.0012
2010-12-31,0.0
2009-12-31,0.0
2008-12-31,0.0
2007-12-31,0.0
2006-12-31,0.0
2005-12-31,0.0
2004-12-31,0.0
2003-12-31,0.0
2002-12-31,0.0
2001-12-31,0.0
2000-12-31,0.0
1999-12-31,0.0
1998-12-31,0.0
1997-12-31,0.0
1996-12-31,0.0
1995-12-31,0.0
1994-12-31,0.0
1993-12-31,0.0
1992-12-31,0.0
1991-12-31,0.0
1990-12-31,0.0
1989-12-31,0.0
1988-12-31,0.0
1987-12-31,0.0
1986-12-31,0.0
1985-12-31,0.0
