Date,Value
2017-12-31,0.139
2016-12-31,0.1422
2015-12-31,0.1446
2014-12-31,0.096
2013-12-31,0.004473
2012-12-31,0.005251
2011-12-31,0.005392
2010-12-31,0.004186
2009-12-31,0.0038
2008-12-31,0.0052
2007-12-31,0.0066
2006-12-31,0.0052
2005-12-31,0.0068
2004-12-31,0.007
2003-12-31,0.0086
2002-12-31,0.0062
2001-12-31,0.0031
2000-12-31,0.0019
1999-12-31,0.0
1998-12-31,0.0
1997-12-31,0.0
1996-12-31,0.0
1995-12-31,0.0
1994-12-31,0.0
1993-12-31,0.0
1992-12-31,0.0
1991-12-31,0.0
1990-12-31,0.0
1989-12-31,0.0
1988-12-31,0.0
1987-12-31,0.0
1986-12-31,0.0
1985-12-31,0.0
