Date,BIOFUEL_PROD_D_CHN,BIOFUEL_PROD_O_CHN,C02_EMMISSIONS_CHN,COAL_CONSUM_O_CHN,COAL_PROD_CHN,COAL_PROD_O_CHN,ELEC_GEN_CHN,GAS_CONSUM_CHN,GAS_CONSUM_D_CHN,GAS_CONSUM_O_CHN,GAS_PROD_CHN,GAS_PROD_D_CHN,GAS_PROD_O_CHN,GAS_RESERVES_CHN,GEO_CAP_CHN,GEO_CONSUM_CHN,HYDRO_CONSUM_CHN,HYDRO_CONSUM_O_CHN,NUC_CONSUM_CHN,NUC_CONSUM_O_CHN,OIL_CONSUM_CHN,OIL_CONSUM_D_CHN,OIL_PROD_CHN,OIL_PROD_D_CHN,OIL_REF_CAP_CHN,OIL_REF_THR_CHN,OIL_RESERVES_CHN,PRIMARY_CONSUM_O_CHN,SOLAR_CAP_CHN,SOLAR_CONSUM_CHN,SOLAR_CONSUM_O_CHN,WIND_CAP_CHN,WIND_CONSUM_CHN,WIND_CONSUM_O_CHN
2021-12-31,63.899017102680205,,,,4126.0,,8534.25,378.6944137168141,36.63963123201049,,209.2128810226155,20.24186925394503,,,,169.93157894736842,,,,,718.4894056591509,15442.093686586928,198.881,3993.966383561644,16990.260062898,,,157.64722540389428,306402.8,,,328973.43,,
2020-12-31,57.52090804580279,,9899.334720869372,,3901.5771,,7779.060000000001,336.61725663716805,32.47957595551628,,194.00921828908548,18.719590327725697,,8.398549655850541,26.0,135.625,,,,,675.7420999999998,14407.906574677583,194.769,3900.701557377049,16691.41410958904,,25.96275738,147.58047324695315,253417.8,,,282112.67,,
2019-12-31,54.66921397413797,,9810.45641884326,,3846.332,,7503.428,308.376843657817,29.8362305406569,,176.7414454277286,17.10017668421962,,8.398549655850541,26.0,112.725225,,,,,666.9465000000001,14320.859568969165,191.628,3848.3102465753423,16199.199589041094,,25.96275738,143.9225659637092,204574.8,,,209581.91,,
2018-12-31,45.1527670173254,3099.37841035,9652.68722670285,1906.725,3697.7358,1828.827,7166.133,283.9260078662733,27.47055105274523,,161.41885447394293,15.61767770422286,,6.363927679449361,25.75,93.725225,,272.079920351,,66.6063266507,634.8738999999999,13641.972724143086,189.324,3802.040876712329,15655.47424657534,,26.19009,138.88284930521064,175015.864,,40.1638231434,184664.877,,82.8166719464
2017-12-31,46.81716142031642,2146.58791199,9466.360373217733,1890.425612,3523.5617999999995,1746.612,6604.447,241.2521858561509,23.341752092218293,,149.1994837758112,14.4354230417562,,6.070297935103246,25.75,79.5989092105263,,263.626284111,,56.1388423768,605.7323000726313,13002.57835660212,191.506,3845.860219178082,15230.98691780822,,25.9482,133.60371368139803,130801.29,108.179305638,26.6552020636,164374.477,286.080694362,66.7511426891
2016-12-31,38.54283998977745,1811.37457965,9278.978312814352,1889.09313408,3410.604,1691.42145124,6133.16,209.4410888219803,20.208582948353893,,137.9416175024582,13.309731318757256,,5.479311356932152,25.75,62.13476699999999,1162.77,260.956125266,213.2,48.2615287143,574.3583799740421,12297.460202813943,199.685,3999.15587431694,14895.212671232875,,25.66381799,129.15485518938172,77787.8,61.686,13.9580033489,148516.89,237.071,53.6432547405
2015-12-31,40.18564009729014,2038.89880896,9279.731355777967,1913.95868511,3746.5416,1825.56271527,5814.573,194.6895280235988,18.836698544101367,177.59,135.6688790560472,13.12630320971934,124.166,4.679402163225172,25.75,54.07029,1114.47,252.187041227,170.79,38.645291216,557.0297812554988,11889.780007338652,214.56,4308.835068493151,15024.180506849314,,25.62646431,127.01887622019504,43537.8,43.56,9.85654161198,131047.73,185.766,42.0342127891
2014-12-31,47.190627891874605,2608.55035676,9293.185855185971,1954.48435673,3873.919,1864.21002824,5794.457,188.3631355728822,18.22460425903338,169.56060219847,131.18085054080626,12.69207523116737,118.44287,3.5764380339351947,25.95,46.26822,1051.1466737,237.848276621,132.538,29.9900438974,518.0764070912221,11017.88503492548,211.429,4245.957726027397,15252.54515068493,9986.2915890411,25.1664555,125.4095146405746,28387.8,23.512156643,5.32021465425,96819.13,156.078,35.3165588089
2013-12-31,42.48788135292961,2346.00502134,9247.425491373511,1969.07301066,3974.322000000001,1894.5946306,5431.635,171.87854200897522,16.629678621596373,154.72530426795,121.81071779744344,11.785491463685306,109.9826,3.3745167366696043,26.0,37.133,909.6112734,205.822345432,111.613,25.2552382676,498.2083338308491,10563.37765632757,209.959285,4216.442627534247,14502.776520547945,9647.5050136986,24.682514973,121.85224603418676,17747.8,8.3738865,1.89480166991,76730.53,141.197,31.9493596416
2012-12-31,38.06768787681277,2110.35663038,9004.244462259308,1927.79309311,3945.1281,1873.54280585,4987.553,150.8775821533427,14.557898601188509,135.84965814815,111.47807276302848,10.756312875498502,100.65328,3.1398622418879047,26.2,30.133000000000003,862.79411,195.228788976,97.394,22.03783319,477.3152634507948,10060.585893281945,207.478,4155.228797814208,13680.511178082192,9199.2521393443,24.427835589,117.43328389108794,6717.8,3.5945099,0.81334794316,61596.873,95.978,21.7174277051
2011-12-31,35.65187179774409,1975.91499609,8827.193609288057,1903.85256504,3764.435200000001,1851.68247708,4713.019,135.1628721350681,13.077345775138902,123.37111185964,106.16560963618484,10.271788137599035,98.068747,2.928997468043265,26.2,27.632,688.045,155.687423632,86.35,19.5388514278,455.5308375513337,9629.797932235904,202.8755,4074.1846986301375,13014.68610958904,8685.5901178082,23.74684707,112.80086914871184,3107.8,2.61,0.590577906503,46354.6,70.331,15.9141512423
2010-12-31,28.64877336330016,1588.88757279,8145.827623874334,1748.94891574,3428.4473,1665.28366206,4207.16,108.87405489121213,10.533836986913448,100.06063836037,96.5445181907571,9.34092348831606,89.181421,2.747093731563422,24.1,24.90023,711.38314,160.96826266,73.88,16.7172014301,440.8363626762912,9307.176479188509,203.014,4076.966082191781,12322.533287671233,8408.3012383562,23.26800749,104.59504737576172,1021.8,0.701,0.158618817034,29633.478,44.622,10.0968457257
2009-12-31,29.47371865449291,1634.34742475,7713.898355778266,1685.77826918,3115.3542,1537.86344729,3714.651,90.2240299806283,8.729400453285066,83.34297330192,85.93974926253686,8.314885583460057,79.385439,2.868212045231072,24.8,20.85932,615.64,139.303977916,70.134,15.8695750554,385.9387668700005,8165.962817835901,189.49,3805.374520547945,11333.90706849315,7452.3810236446,21.61762134,97.772036305361,414.8,0.279,0.0631307417296,17599.408,27.6,6.24519165498
2008-12-31,26.893133029937232,1495.57415638,7378.247605264255,1609.27950332,2903.4056,1491.76979728,3495.76,81.93290590275318,7.905554418420762,75.684182924084,80.93166175024581,7.808946223623334,74.7593,2.710600909537857,24.8,14.866,636.96,144.128162194,68.394,15.4758564511,370.8677311551424,7818.684906863734,190.4396,3813.9952677595625,10388.77887671233,6828.3800161184,21.1868519,93.66840582138188,253.0,0.152,0.0343938091144,8387.728,13.1,2.96420328551
2007-12-31,21.733676950965727,1208.83104288,7239.761608414057,1584.17136156,2759.8913,1439.28331295,3281.5530000000003,71.07789880211405,6.8769643980095205,65.65704750157,69.78466076696164,6.751840385119731,64.46244,2.272839233038348,21.7,9.863,485.264,109.803140698,62.13,14.0584694755,363.1958052031401,7681.448707561709,186.3182,3741.677824657535,9455.47909589041,6593.5092330959,20.762501341000004,90.1774578564468,199.0,0.114,0.0257953568358,4200.0,5.47929292929,1.23982733613
2006-12-31,19.713934865725705,1098.5505683,6677.286156049583,1454.71898013,2569.7312,1328.42254384,2865.726,57.78375707718779,5.590722951861262,53.3768013289,59.01359390363814,5.709712739311318,54.512843,1.696748515240905,21.7,7.133000000000001,435.786,98.607503281,54.843,12.4096031135,346.5824631510001,7322.593100977879,184.7657,3710.500221917808,9226.54210958904,6234.717260274,20.220299775,82.97412400321353,160.2,0.095,0.0214961306965,2070.0,3.71181818182,0.839891881662
2005-12-31,13.487426396812497,753.663594382,6098.182530359008,1324.60066542,2365.146,1241.70165,2500.26,46.975108190757126,4.544959151365261,43.3924885492,49.7079646017699,4.809369841047157,45.91692,1.5466421533923305,21.7,5.322,397.017,89.8350454813,53.088,12.0124903833,323.605626697,6815.672666792906,181.3529,3641.963717808219,8463.418821917807,5831.9709123288,18.249655663,75.69779322923728,141.2,0.084,0.0190071050369,1060.0,1.94606060606,0.440344980328
2004-12-31,9.588564459585212,541.379974743,5334.891665923884,1131.15044746,2122.6108,1106.9415322,2203.31,39.98397000983284,3.8579792489285496,36.9345389,41.786135693215336,4.031866879594315,38.59926,1.4595488003933137,21.7,2.528,353.544,79.9981897995,50.469,11.4198760013,318.81700816999995,6689.557353300475,174.05100000000002,3485.775491803279,7843.693770475647,5555.032489071,18.25887607,66.63288668699785,76.6,0.076,0.0171969045572,763.0,1.27777777778,0.289129243286
2003-12-31,7.827184154783909,440.676305514,4532.148214607946,970.16840743,1834.8987,945.33981024,1910.575,34.17472959685348,3.3064905225106846,31.568348,35.290437561455256,3.414438057264116,32.598965,1.346625447394297,21.7,2.536,283.68,64.1897090103,43.3498946,9.809,273.0021,5738.230040760634,169.585,3405.638493150685,7322.456388403082,4788.3978082192,15.4757,56.94752257152672,66.6,0.064,0.0144816038376,547.0,0.99696969697,0.225589377963
2002-12-31,2.850401469753169,160.317363558,3843.396023624423,814.054818338,1550.4003,800.285626854,1654.0000000000002,29.41356932153392,2.845836363364157,27.170304,32.917920353982296,3.18489108634309,30.407391,1.2779655653883977,21.7,2.546,287.97,65.1604290175,25.1331278,5.687,244.06818000000004,5144.317005910749,166.866,3351.0350136986303,6877.710865334876,4333.7811671233,15.5087,48.889766356872215,56.53,0.048,0.0108612028782,449.0,0.837373737374,0.189476792636
2001-12-31,0.0855222002916469,4.56239580474,3523.076663603748,742.541251182,1471.5265,749.374870125,1480.802,27.64577187807276,2.6747975413609795,25.53733,30.5675762045231,2.957489414215717,28.236299,1.3784587020648966,21.7,2.554,277.43,62.7754898855,17.4743076,3.954,225.71308000000005,4762.0982841755385,164.83,3310.147671232877,6166.336576594329,4098.1327123288,15.411500000000002,44.89222836473344,38.02,0.031,0.00701452685885,383.0,0.719191919192,0.16273519464
2000-12-31,0.0,0.0,3360.873683883625,706.053843884,1384.1845,707.3182795,1355.6,24.69574729596853,2.382846940441377,22.812293,27.413962635201568,2.645122506632063,25.3232,1.3776524090462146,21.7,2.537,222.41,50.3258360863,16.7406872,3.788,221.14855000000009,4655.437481674765,162.62,3256.843169398908,5908.449737665343,4066.6078961749,15.1903,42.48102381802845,33.515,0.022,0.00497805131918,341.0,0.589898989899,0.133479429311
1999-12-31,0.0,0.0,3294.43328918853,696.391464762,1363.9973,682.012289973,1239.3000000000002,21.663077679449355,2.095956921400397,19.98621653769,25.396214355948864,2.4571472273865824,23.430384494124,1.3776524090462146,,2.52,196.58,44.4811512875,14.9508302,3.383,205.03825999999995,4317.572313094706,160.22,3217.568767123288,5901.893292607826,3686.0,15.1119,40.98984536456142,10.0,0.017,0.00384667601937,262.0,0.473737373737,0.107194952649
1998-12-31,0.0,0.0,3163.3646553354365,676.845804635,1332.0286,666.027620286,1167.0,20.416347099311697,1.9753326210480997,18.835990899971,23.46211897738446,2.2700186644309968,21.646000501576,1.3776524090462146,,2.48,198.89,45.003846676,14.1023054,3.191,192.80095000000003,4068.2468111653857,160.18,3216.7654794520554,5017.86595068601,3060.0,17.4228236,39.60203814516914,5.0,0.014,0.00316785083948,200.0,0.355555555556,0.0804533546535
1997-12-31,0.0,0.0,3166.7923524302755,682.02170862,1387.5313,693.779525313,1135.55,19.798525073746312,1.9155567955703643,18.173007165377,22.881588003933132,2.213850841469862,21.110406348524,1.1694272369714849,,2.722,195.98,44.3453862515,14.4205022,3.263,187.51805000000004,3930.075074639676,160.13,3215.761369863013,4981.805502869669,3084.0,17.021506100000003,39.53208170968496,2.5,0.011,0.00248902565959,146.0,0.19797979798,0.0447978906593
1996-12-31,0.0,0.0,3177.7155183986856,696.078203765,1396.6994,698.363666994,1081.31,18.73623402163225,1.8078245367018408,17.191084551447,20.27222222222222,1.9560291947940196,18.703022212668,1.1796066863323504,,1.533,187.97,42.5329230212,14.340953,3.245,170.30762,3565.881738703221,158.52,3174.731147540984,4617.9228021775,2850.0,16.444488500000002,39.26681804286924,1.0,0.009,0.00203647553967,,0.0939393939394,0.0212561419965
1995-12-31,0.0,0.0,3028.832755794003,665.2494009,1360.731,680.3655,1007.03,17.879547689282198,1.729890936337724,16.496485884208,18.091199606686327,1.7503687884589711,16.688035182001,1.6828343166175026,26.3,3.014,190.58,43.1235009277,12.8339376,2.904,153.52349999999998,3220.412668624165,149.02,2992.6482191780824,4386.261743478581,2711.0,16.3550625,37.269570928171845,,0.007,0.00158392541974,,0.616161616162,0.139422006644
1994-12-31,0.0,0.0,2938.109041436819,657.065115,1239.901,619.9505,927.8,17.697123893805305,1.7122409780808396,16.125475351103,17.697123893805305,1.7122409780808396,16.327253009458,1.6828343166175026,,0.46,167.428969,37.885,14.760796,3.34,142.43779999999998,2965.0723400944903,146.08,2933.606575342466,3897.8065866935967,2548.0,16.25794,36.175724120682,,0.005,0.00113137529981,,0.383838383838,0.0868530533191
1993-12-31,0.0,0.0,2787.266232377549,616.5397,1150.67,575.335,811.59,16.896878072763023,1.63481519434622,15.58430209229,16.896878072763023,1.63481519434622,15.588951347091,1.6838421828908554,,0.117,151.8461646,34.359,1.6042422,0.363,139.8001,2904.1464902139605,144.03,2892.438082191781,3643.197970293371,2570.0,16.435325999999996,34.04748224405231,,0.004,0.000905100239852,,0.212121212121,0.0479977399921
