,2021-12-31,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,1995-12-31,1994-12-31,1993-12-31,1992-12-31,1991-12-31,1990-12-31,1989-12-31,1988-12-31,1987-12-31,1986-12-31,1985-12-31,1984-12-31,1983-12-31,1982-12-31,1981-12-31,1980-12-31,1979-12-31,1978-12-31,1977-12-31,1976-12-31,1975-12-31,1974-12-31,1973-12-31,1972-12-31,1971-12-31,1970-12-31,1969-12-31,1968-12-31,1967-12-31,1966-12-31,1965-12-31
BIOFUEL_PROD_D_DEU,54.258231785058186,62.96857106281397,65.75371250171204,62.955768361365685,61.27613953818803,59.86959636814491,59.35852516334258,64.38554748765368,57.61150660559106,53.94398122883062,57.72378927497592,58.74663003251414,47.40229393061793,47.2419533834824,53.22627789798471,42.87688996396985,26.072766886940293,17.004768006072116,11.142096081863958,9.160297594711327,5.829270062987246,4.1523986076037565,2.165162272114673,1.6655137658620405,1.4989642637778295,0.9135288153010682,0.5829326298047037,0.4663386058357907,0.0832841235520708,0.0830565713019285,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
BIOFUEL_PROD_O_DEU,,,,3444.89055603,3293.47616318,3227.64574138,3191.2659358,3460.22676507,3073.43,2885.661,3079.42,3133.986,2528.794,2527.145,2839.489,2287.375,1390.917,910.309535495,594.403,488.679,310.977,222.127,115.506,88.851,79.966,48.868,31.098,24.878,4.443,4.443,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
C02_EMMISSIONS_DEU,,604.8754564828467,681.4825449813659,734.4905110583703,760.9787869453801,770.5119393271207,755.6881733180594,751.1595219105941,797.6303640771227,773.0012643985496,763.6899146255529,783.1632595460037,753.5898547827699,809.368412231094,811.0682051609638,843.7771475070751,826.3176289056285,847.5257667244229,861.9914127604876,859.0473179795054,871.6725539609845,854.4283140045346,855.9154708836261,879.0361843182284,887.9933553292258,914.84453762317,889.4009688750132,896.9315114191718,916.2724362481446,923.715786416216,969.7032102652294,1007.6058813606268,1003.8150947462852,1017.015361526805,1031.4312799667075,1037.2673261632472,1045.8139082910973,1038.3350074842213,1017.950677360307,1003.3332309115538,1043.9031737893115,1077.8105888566306,1104.1950785402844,1052.7454965399206,1072.513621774355,1093.4117731718063,1025.2997072400951,1085.3204695056695,1116.424395676766,1067.3267033382542,1045.121274029082,1043.3942686615903,1011.9243712007436,944.7553929614438,892.4161204799783,901.0377980138328,910.413846440708
COAL_CONSUM_O_DEU,,,,66.3991592624,71.5331279259,76.5206362855,78.6806391516,79.6126397248,82.837369829,80.487890513,78.3139390465,77.0569408618,71.7362370068,80.1210860801,86.6970528088,84.5495500573,81.2886709277,84.9621678848,87.1556256807,85.7393650521,85.5491004108,85.3048865195,82.1652333238,85.3406984427,87.4306328461,90.2323190981,90.6224738703,95.5676348524,98.5188488774,104.428029426,115.528398777,131.529736314,141.023,138.813,140.467,141.047,149.269,150.064,145.397,140.282,143.707,141.338,138.158,130.566,128.891,134.208,127.134,140.337,139.736,139.283,142.681,149.097,150.985423719,146.641361036,144.566159334,150.072177683,160.746047927
COAL_PROD_DEU,126.00000000000004,107.4,131.30000000000004,168.842,175.122,175.396,184.288,185.795,190.56100000000004,196.202,188.561,182.303,183.623,192.484,201.94,197.40600000000003,203.072,208.036,205.228,208.416,203.015,201.572,201.095,207.293,223.562,235.759,246.68400000000003,259.664,280.67,307.906,346.38199999999995,427.4330000000001,482.749,498.3250000000001,502.85,513.2180000000001,521.6,501.8,476.5,499.7,492.8,,,,,,,,,,,,,,,,
COAL_PROD_O_DEU,,,,37.5904930843,39.4191304713,39.6364766072,42.8125060379,44.1338356951,45.1209038632,47.7725948963,46.7310834779,45.8981084121,46.4146808787,50.0959439493,54.414091109,53.3493995663,56.5718655202,58.4131277891,57.798829841,58.4232015135,58.2569247777,60.712526373,63.2799214068,65.0083906917,70.8676981608,73.9874437323,79.0495328228,80.9485586434,87.8497315785,97.6346579338,106.150536919,125.037135477,131.565869652,137.88468151,138.95668392,143.51241293,148.63417704,142.97746467,141.26144368,149.50269929,148.85351265,,,,,,,,,,,,,,,,
ELEC_GEN_DEU,584.5256937032001,573.6414870040898,607.0442265825111,640.1751879319027,651.4172590008508,648.2404801781418,646.066751728065,625.6566902939272,637.6456742434082,628.9241783524312,612.9173988528877,632.6624913698952,595.8024936764639,640.8170507943927,640.6438590124789,639.5096487738614,622.5168855077484,617.5353013075438,608.8030942701685,586.6850000000002,586.4810000000001,576.4499999999998,556.3010000000002,557.2170000000001,552.324,552.669,536.8209999999999,528.4692,527.118,538.1657000000001,540.2220000000001,549.9,559.873,549.492,532.442,523.557,522.534,,,,,,,,,,,,,,,,,,,,
GAS_CONSUM_DEU,90.53031100478468,87.11250000000001,89.28302777777776,85.85072222222223,87.73847222222223,84.88475000000001,76.95361111111112,73.89502777777778,84.97433333333333,81.11005555555556,80.86072222222222,88.07124999999999,84.43012164686618,89.50063031029967,88.63619585580157,92.0068964885499,90.28104919473986,88.82105555555555,88.37197222222223,87.31277777777778,87.44819444444445,82.92458333333332,83.61908333333334,83.86502777777778,83.10336111111111,86.991,77.73736111111111,71.29272222222222,70.01133333333334,66.16269444444444,66.91927777777778,63.68833333333335,63.33579431527743,61.8851396770432,62.86170099014953,57.98007670223667,58.14914240172117,58.83013431013431,56.33434625690492,54.186147823594766,58.393873868807134,61.07291495294629,61.94780039083816,56.04232368506805,52.27913402451425,49.22885776808042,46.51434835537809,44.076491905468586,35.23305531704807,27.32243576983929,21.102473217475616,15.973752907239234,11.231637378341556,7.886973994833319,4.798864854598777,3.7229922215155336,3.0975673611847245
GAS_CONSUM_D_DEU,8.759033908049584,8.405323864529715,8.638356137731112,8.306271994749332,8.488916526469175,8.190372390984516,7.445454252702824,7.149528668995881,8.221479178849142,7.826159111659544,7.82347702015947,8.521113608386267,8.168825337698959,8.635750137323727,8.575773532253274,8.901897244946214,8.734917204793708,8.570179227250172,8.550209235167108,8.447729524768052,8.46083142579859,8.00123953792911,8.090355353335532,8.11415109317643,8.040457939072365,8.39360055444746,7.521284024513406,6.89774910094588,6.773771522578978,6.383915908227595,6.47460741769423,6.162005465598678,6.127896434283198,5.971182567222911,6.082026719882728,5.6097173663676685,5.626074895443145,5.676410754719015,5.450488831590973,5.242645262848697,5.649753276692266,5.892812507164794,5.993604552222969,5.422234917733328,5.0581369104099005,4.750001354818027,4.500379485430622,4.264510779461125,3.408886181666826,2.63629124882549,2.04171703823936,1.5455005268447528,1.086688994524843,0.7609995205934595,0.4643021714501409,0.3602088046061823,0.2996973858584305
GAS_CONSUM_O_DEU,,,,,,,67.163466131652,63.986815706506,73.064775007165,69.742094200822,69.527706124009,75.727644024076,72.596837185612,76.956689862682,76.213410022185,79.111690875795,77.627729316199,76.372360752842,75.986218591765,75.075475303334,75.19191267794,71.302307251361,71.89946976211,72.110943918983,71.456028470431,74.798796216681,66.84209897774,61.300706983854,60.198910862711,56.889677080348,57.540221648992,54.823931195543,54.45898049465,53.211642026692,54.051333611479,49.853892263316,49.999262598213,50.584810240872,48.438818793555,46.59170062218,50.209693782293,52.513254473729,53.265520542423,48.187724578734,44.951963907579,42.329198424833,39.995140460342,37.898961225682,30.294974477255,23.49306601018,18.144860892068,13.734955208288,9.6574698008096,6.7815769517053,4.126281044367,3.2011970950263,2.6634285134864
